,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,Type
0,-0.23027835074647884,0.3077882155352113,0.12823955724119718,-0.03508055828450704,0.027391341825739435,-0.40979756707746484,0.1502237616830986,0.6987950257746479,-0.30384341380633806,-0.21961065900105634,-0.2353299425915493,-0.41009690581338026,-0.0660531461112676,-0.006653410385704226,0.15372886460739435,-0.18542837304577464,0.051641137914788734,-0.32446465457042256,0.049373918682157035,-0.784443215169014,0.07990190027619719,0.06857341018521126,0.22289337432042253,-0.1755224720915493,-0.053479853485563375,0.08061640691232394,-0.23253760132042256,-0.2448667626373239,-0.21149950666549297,0.06497413871901409,0.2887959164471831,-0.10702404191338027,0.16213398429577466,-0.22248128555985916,-0.23413956453697188,0.29176973369014086,-0.008473043034605634,-0.11218250648450703,-0.06920436499387324,-0.46072481823591555,0.03161368199799296,-0.331198343612676,-0.17118598723380282,0.14099325621746478,0.20450618175704224,-0.19915823063274649,-0.3342196930176056,-0.16244733025352115,0.19076710231338026,0.14365035104049298,0.263662319834507,-0.3072765656584507,0.017557240513521127,-0.05554527051267605,-0.13795634133450704,0.24306872574647892,0.1993725166056338,-0.09392528488521126,-0.33187105986971827,0.11085364273521127,-0.06735789294647887,-0.08980230083345071,0.021956292107605635,-0.022784285833239437,-0.3107785407359155,0.27252138558098593,0.27698152846478874,0.3821832369507042,-0.43656297510211267,0.3791792166514084,-0.08725085872183098,0.13600738710563381,0.3916522221338028,0.01810124214422535,0.29678283690140844,0.19983393936267607,0.13343058144894365,-0.018295908737922535,-0.20739890704929578,-0.0065471753438274645,-0.34091194638380284,0.04209226981091549,-0.31395940330985916,0.5741280860422534,-0.0779392766338028,-0.019752051205985915,0.14247860445070423,0.39879473879577465,0.29072538730140846,0.13733814433450706,0.41039008833802815,0.26588546566197185,0.09861612293309859,-0.08666916989507044,0.6471887532570422,0.38008181431690147,0.23656076718661972,-0.30284047819014087,0.10958201540809859,-0.12514522823450705,Bad
1,-0.22570312199999998,0.3041774291,0.12870370321538463,-0.03604088370153846,0.023633630320153847,-0.40435880536153845,0.14868735899076924,0.6856153783538461,-0.3008091467,-0.2173880656076923,-0.23031380575384616,-0.40472004411923074,-0.06537350374076922,-0.003771340480692308,0.14899595525384615,-0.1824914681,0.05442098280153847,-0.3187199971153846,0.048751782123076924,-0.775086675923077,0.08008570483846153,0.06457186498307692,0.22058087096153844,-0.1724477906076923,-0.054339995955384614,0.07989415450946152,-0.22838697600000002,-0.24304769606923074,-0.20728101713076924,0.06418283244230769,0.28548341424153845,-0.10284959636923077,0.16021560987692307,-0.2195667504923077,-0.22857263351538462,0.2883179458461539,-0.006678714321246154,-0.11136408140000001,-0.07076813784615384,-0.4556597232538462,0.028836183032253847,-0.32588003299230767,-0.16753371345384616,0.13872692796538463,0.20016033644153847,-0.19603589206923078,-0.3283264206384615,-0.16076210613307693,0.1881586601076923,0.14325419509,0.25811266257692306,-0.3028404128846154,0.01760724903015385,-0.053871987217692305,-0.13440835186923075,0.2389446993923077,0.19453426767692308,-0.09351988030307692,-0.32866785502307694,0.10992295967153846,-0.06585441568846154,-0.0913806854823077,0.021470082122307693,-0.021221863752307692,-0.30584776104615385,0.2683423434230769,0.27183122079230765,0.37459882081538454,-0.43175222941538466,0.37486761157692305,-0.08484943831384616,0.13376591926153847,0.3869763536692307,0.018377294765307695,0.291908238,0.19560390791538462,0.13129078656692308,-0.01712963771076923,-0.2038540956230769,-0.0056925454785692305,-0.3343987214307692,0.041556005870769235,-0.3111565912307692,0.5654091428999999,-0.07678060144461539,-0.022060004143076923,0.14249025422923078,0.39404583772307694,0.28612842816538464,0.13762163534615385,0.40510567986923074,0.2624659253923077,0.0968087716923077,-0.08615943583076924,0.6357008355999999,0.3720144993461538,0.2313345058076923,-0.3018938946230769,0.10952064013307691,-0.12217386815384615,Bad
2,-0.22423439792708333,0.2995088251729167,0.1277268135625,-0.036041047271874994,0.023344958394375004,-0.4014254038645833,0.14819754237083335,0.682710825875,-0.29929062264583334,-0.21798391508125,-0.22885996915625004,-0.40405012365625,-0.06314868590416667,-0.004795850230520833,0.14910896270833332,-0.18146851116249998,0.054853456035416664,-0.31931609009375,0.04910624303645833,-0.7698359525416666,0.07676286870729167,0.06601762355,0.21495958492708334,-0.1723051189375,-0.05546909500625,0.08084939754328124,-0.228161040875,-0.23973486305208333,-0.20585580004166668,0.06630838704497917,0.28347995512499996,-0.10380334605208334,0.1569581295625,-0.2176209291958333,-0.23019220230729168,0.2863194275729167,-0.006839333893645834,-0.11046482710208334,-0.06915000404999999,-0.45297651642708336,0.02984809736690625,-0.32533149471875,-0.16507605526979166,0.14153311553125,0.1993301095625,-0.19729335944791662,-0.32693922548125,-0.16025059591666665,0.1874484390625,0.1417860351534375,0.25786049466666666,-0.30242812476354164,0.018368303430208333,-0.05547653116354167,-0.13517074787083333,0.23848763733020836,0.19434117771875004,-0.09198504640625,-0.32288166991666667,0.10731175136458333,-0.06704665620520833,-0.091188304715625,0.025301432163854165,-0.020220252127083334,-0.3050144431354167,0.269195238265625,0.270942179534375,0.37157391240625,-0.42901526691666664,0.3693510750312499,-0.08373200265833332,0.13385644665104166,0.3847134249270833,0.017678116981666665,0.29033610207291666,0.19663508602083332,0.13078192615224998,-0.01686110298125,-0.20259724083333333,-0.0056420790657187485,-0.3343093742604166,0.03963826287875,-0.309033270046875,0.5643289602083333,-0.07547307889322917,-0.02174312940114583,0.1403984976052083,0.39239930878125,0.28557968673958334,0.13740213588072916,0.4004776224375,0.263969103153125,0.09708013769791667,-0.08387927217916667,0.6320928464062501,0.3702062795729167,0.23148164346875003,-0.29888744229166664,0.11231826005104166,-0.12138735763197916,Bad
3,-0.22334324183333334,0.29990901704444445,0.12715575851444444,-0.035470819141333335,0.02456634501666666,-0.40143929539999995,0.14862813796666666,0.6817941080444445,-0.29765623872222224,-0.21645028103333333,-0.22782684161111114,-0.4026295599333333,-0.06460287109555556,-0.005413743457133333,0.1480496744888889,-0.1805500403,0.05227702868777778,-0.3184182564666667,0.048267977855555554,-0.7698652935555556,0.07629956108555556,0.06476856163111111,0.21788844583333333,-0.17143027557777776,-0.055347869004444446,0.07895131605555557,-0.22497105025555553,-0.24150490514444445,-0.20705544638888887,0.06369940759,0.28224661855555555,-0.1027903368,0.15723579735555554,-0.21808633518888887,-0.22850170231111114,0.28477507537777774,-0.006973660854488888,-0.11172706506666666,-0.06971193066666666,-0.4528520465,0.029190462629333332,-0.32346003279999996,-0.16766406920555557,0.1381086822,0.20071100558888888,-0.19610048815555559,-0.3257865774888889,-0.16058461331111112,0.18706156420000003,0.1412539237222222,0.2568895158222222,-0.3006086668333333,0.017740256465555555,-0.05312135825500001,-0.13221291425555556,0.23774120112222225,0.19487825742222226,-0.09461613215111109,-0.32473982856666667,0.10776486996444447,-0.06676012442555555,-0.09194954646666667,0.023563061742222224,-0.019775730646666663,-0.30535404944444444,0.2677666448666666,0.26825720014444443,0.3714402742111112,-0.4271607432888889,0.3689515697777778,-0.08441862658222223,0.1343311416888889,0.38353773523333334,0.018714467627411115,0.2903389676333334,0.19357714407777776,0.13227987964444443,-0.019184529919444446,-0.20251378273333331,-0.006067210737333333,-0.33064279705555555,0.04050505186422222,-0.3077670826777778,0.5611750059555556,-0.07450629647777778,-0.02112449482388889,0.1395611678111111,0.3915380904777777,0.28464457923333336,0.13699200116666668,0.3993856706555555,0.2620539946111111,0.09583182298888888,-0.08564714274444445,0.6328941116666665,0.36941291438888885,0.23028301015555555,-0.2985802257,0.1102316530111111,-0.1221379559888889,Bad
4,-0.1988845422222222,0.26819483333333327,0.11023686377777779,-0.038341335666666664,0.021575712955555555,-0.3516322288888889,0.1291183062222222,0.6011444444444445,-0.2628734922222222,-0.1900848626666667,-0.2068389311111111,-0.3551229211111111,-0.05530972966666667,-0.003769294155555556,0.132112805,-0.16177650666666665,0.04816429122222222,-0.2763629344444445,0.046777401555555556,-0.6767189522222222,0.06932476733333331,0.06234703222222223,0.1882862011111111,-0.15395568666666665,-0.04751998744444444,0.07325968100000001,-0.20470377666666667,-0.21258434,-0.1848651911111111,0.056419057333333335,0.24408659333333332,-0.08851427777777779,0.14193567955555556,-0.18868420822222223,-0.20271993777777778,0.2538111944444445,-0.010005022422222223,-0.09539799277777777,-0.06419536511111111,-0.39799875333333334,0.025322693666666667,-0.2839208644444444,-0.1395581311111111,0.12250943155555555,0.17067095000000002,-0.17608502111111107,-0.28740040333333333,-0.14377529266666667,0.16491869222222222,0.12618778455555557,0.22679218888888894,-0.2632334333333333,0.01476725618888889,-0.04825947122222222,-0.11546047311111113,0.20405467333333333,0.17535219544444444,-0.07719590866666667,-0.29071106333333335,0.09709663611111112,-0.05583032088888889,-0.08167659677777778,0.015838405722222223,-0.015992970144444445,-0.2660965577777778,0.22803356777777775,0.24291435777777778,0.3271104344444445,-0.3800986722222222,0.33104434555555556,-0.06735987266666667,0.11396821266666667,0.33766634222222225,0.010721586288888888,0.25689796555555555,0.17515795877777776,0.11444782444444443,-0.015370535188888888,-0.17791026877777774,-0.009532487777777777,-0.2935999744444444,0.04006194644444445,-0.27378833444444445,0.4932798666666667,-0.06780816677777778,-0.016739762344444447,0.12060646855555555,0.3467702722222222,0.24963519333333328,0.12195931011111111,0.35973202000000004,0.2246676655555556,0.08641030344444445,-0.07325042866666666,0.5569967966666667,0.32504744222222226,0.20361078666666665,-0.2599176577777778,0.096010965,-0.11081500611111111,Bad
5,-0.22763361575,0.3063972615769231,0.13060078177884615,-0.036672192821153846,0.02547806904807692,-0.4090912322115384,0.15034905976923077,0.6953734437499999,-0.3050284340384615,-0.21847588986538463,-0.23342954423076928,-0.4097199317307692,-0.0650818670673077,-0.004875603630769231,0.1517874366346154,-0.1850408937307692,0.05345452675673078,-0.3242418593653846,0.04877158958653846,-0.7864010834807693,0.07719007643615382,0.06668650707692307,0.22253542815384617,-0.17633242723076925,-0.05449626661730767,0.08144066463461538,-0.23084625859615387,-0.244414112576923,-0.21005279932692306,0.067103826625,0.28817797561538466,-0.10518916213461539,0.16022616421153846,-0.22129150623076924,-0.23263969415384608,0.290721792,-0.005948022399269231,-0.11344869832692309,-0.06869993878846155,-0.4640607727115385,0.028380295017307693,-0.33023443465384617,-0.1690313510384616,0.1422278823846154,0.20606784521153848,-0.1984450586730769,-0.33445692728846155,-0.161980151,0.1880122723269231,0.14201208457692308,0.2607092777692307,-0.3052392793269231,0.01839841160769231,-0.05559995020192307,-0.13772350028846156,0.2422602808269231,0.19576012571153845,-0.0961178554942308,-0.3332256885384615,0.10990470419230768,-0.06639697583076923,-0.0914919820173077,0.023081530490384618,-0.02044192745057692,-0.3108198989807693,0.27275976140384617,0.2767975798076923,0.38180427498076924,-0.43717581192307686,0.37995581313461535,-0.08520898617115386,0.13837232449999998,0.3904352716730769,0.020771471054615385,0.2961499719423077,0.20019250938461536,0.13546656746153846,-0.01930482142403846,-0.20705680073076924,-0.0053551880859615385,-0.33804437840384616,0.04015190123653846,-0.31552758590384616,0.5742358882884615,-0.07722349653846153,-0.02180548505769231,0.14175425349999998,0.39928037928846155,0.2905802104807692,0.13783239040384615,0.40989217544230766,0.2672473874038462,0.10026104059615386,-0.08771454815384615,0.6447357583653847,0.3779654608846154,0.2367582962692308,-0.3051762463076923,0.11237787314807693,-0.12651594875,Bad
6,-0.22975150053571428,0.3045086595,0.12421494828571426,-0.033664837896428566,0.026371756802142852,-0.4099462246428572,0.14733107948214283,0.6932586721428571,-0.31853209382142855,-0.22220701953571426,-0.23255428632142858,-0.41400157785714287,-0.06851359391071428,-0.0005155216000000001,0.15801637421428572,-0.18543764203571425,0.063037133475,-0.32463363107142856,0.04546094022500001,-0.7852845046428572,0.07942663567857142,0.06986045171428572,0.2193580495,-0.17616072778571426,-0.04891693112592856,0.08473615882142857,-0.23708663035714284,-0.2491738692857143,-0.21675449064285712,0.068519729,0.28383360667857144,-0.09965337367857144,0.15952333767857146,-0.2282288657857143,-0.2373217280357143,0.2922768595,-0.01616160657357143,-0.11806603792857141,-0.07386216767142859,-0.46462084249999996,0.027182280285714285,-0.3348407235714285,-0.16048017467857148,0.14720859453571428,0.19747259949999998,-0.20049827760714284,-0.3367323769642857,-0.1648826735,0.18824432203571426,0.1442909342142857,0.264571562,-0.3131028542142857,0.016627036439285713,-0.059670931028571426,-0.13924261860714285,0.23828746610714285,0.2039096323571429,-0.09194459407142859,-0.3302869087857143,0.11415314624999998,-0.06209612751428571,-0.09752586727500001,0.01725137358928571,-0.019150553967857142,-0.3074104359285714,0.27417756685714284,0.2757007219285714,0.38245288271428574,-0.44065478139285713,0.37826077035714284,-0.09092453732142859,0.1344139635,0.3856153760714286,0.011970538344178572,0.2985156596071429,0.1997979352142857,0.13205519103571428,-0.01020444695,-0.20675356407142856,-0.013157499285714285,-0.3413859762142857,0.04250230063571429,-0.31912319803571426,0.5752461932142857,-0.07502864741785716,-0.01913456428928571,0.14384324960714287,0.40253831271428575,0.29417399525,0.13448363071428573,0.4176895610000001,0.2669936192142857,0.09736568407142857,-0.08077606657142856,0.6373630696428573,0.3757842541785715,0.23754556996428566,-0.3103976037857143,0.11163066907142857,-0.12604699128571428,Bad
7,-0.2330928335754717,0.31307175644245283,0.13164957951981135,-0.03700686867334434,0.026025293913207542,-0.4174581341226415,0.15194723550754718,0.7096029922028302,-0.3084177364716981,-0.22455188550141505,-0.2381210580754717,-0.41731944394811327,-0.06827275888537736,-0.005401408318433962,0.15451429623773585,-0.18827447443867923,0.05438060501179245,-0.3311804205896226,0.050798395501415086,-0.7989690546179246,0.08086457688509434,0.06871653952877359,0.22663661295283016,-0.1780529380235849,-0.05484628393726415,0.08217613985141511,-0.23552111006132076,-0.25002191374528304,-0.21506928319811322,0.0672210527745283,0.29339908635377354,-0.10904978440188678,0.163759623825,-0.2270366811509434,-0.23789771240801888,0.2954351079386793,-0.007989427997291038,-0.11486426150066038,-0.07022140686037737,-0.47021063370283017,0.029819020702830195,-0.3379170513018867,-0.17382533194528302,0.14372774489509432,0.20826618158018867,-0.20365881228632077,-0.3409620849811321,-0.16558593934339622,0.193849835475,0.14656579022122643,0.2681985484669811,-0.31318970212735847,0.01763736534325472,-0.056241683364150946,-0.138675205313066,0.24801750323113206,0.20307075089764154,-0.09677235038301887,-0.33953858204716986,0.11238288275943395,-0.06842481325471698,-0.0931057038768868,0.022395167401745283,-0.021625534960754724,-0.3168109925943396,0.2783920047830189,0.28229969015566037,0.38894265008962264,-0.44457223653301886,0.3862549330235849,-0.08794110539103776,0.14013508746226414,0.39893759213207547,0.017834489983820756,0.30177362261792456,0.20295958381603776,0.13737392069410376,-0.019944980264858494,-0.2112374437287736,-0.006580166293466981,-0.34660454873113206,0.042310759960754715,-0.32098570753773586,0.5858010361745283,-0.07804331256273586,-0.022123713385377358,0.1449382156745283,0.406922974495283,0.29499579168207546,0.14134841375660379,0.4173838449150943,0.2714244999009434,0.1019664925754717,-0.08749726466509433,0.6579211891556603,0.38681166386792454,0.2410458832971698,-0.30804149277830184,0.11280530589204718,-0.12708929666792454,Bad
8,-0.2452270477777778,0.3311922325555556,0.14405808861111108,-0.03728335000000001,0.02586951731888889,-0.4471821472222222,0.15984288077777778,0.7550812266666668,-0.3335006937222222,-0.2423825263888889,-0.24972164922222218,-0.443985205,-0.080222395,-0.0027608873127777777,0.16045962394444443,-0.19878719055555558,0.0591521829996111,-0.3524806738888889,0.05395344611111111,-0.8527703022222223,0.08625368533333333,0.07138730822222222,0.23915421733333334,-0.18897608300000002,-0.05874683861111111,0.08459353938888887,-0.24692940444444444,-0.26344109138888894,-0.23184831983333332,0.06869338655555556,0.3099915183333333,-0.11355772955555556,0.17472260583333332,-0.24335126666666668,-0.25411666083333334,0.31020547261111114,-0.012122267183888891,-0.1291426169444444,-0.07836543333333333,-0.5074499883333332,0.026219940944444447,-0.3612201488888889,-0.1865226823888889,0.15568676833333334,0.2212190925,-0.21631016533333336,-0.3677519997777778,-0.1770717151111111,0.20906331822222224,0.16346836338888887,0.2815607305555556,-0.33176923461111113,0.019230125926666664,-0.06042943018333333,-0.14569722477777777,0.26503455444444446,0.21360731538888889,-0.10373329477777778,-0.36353034111111115,0.11723312588888889,-0.07290651544444444,-0.09869146855555556,0.017148436322222224,-0.025397740055555555,-0.3377928238888888,0.3006582972222222,0.302329055,0.4156202555555556,-0.4718028638888889,0.4089533638888889,-0.09473070305555556,0.15224740894444444,0.4223596414444445,0.011477427597777777,0.325538207,0.2191612436111111,0.15103723416666667,-0.023054630447222224,-0.2266959117777778,-0.008562272262,-0.36635764555555556,0.04791309055555556,-0.3402788896666667,0.626447435,-0.08385274847222221,-0.023389500055555557,0.15652805911111115,0.4316454672222222,0.3142542976111111,0.15081178411111107,0.4433851727777778,0.2877692647777778,0.1097124705,-0.09110022694444446,0.7018114427777777,0.4109372605555556,0.25449987427777776,-0.3287200524444445,0.121878636,-0.13168387061111111,Bad
9,-0.2025775264736842,0.25958062810526317,0.10500076415789475,-0.020594893486526312,0.028664148073684215,-0.3684110173684211,0.13194694142105262,0.6203159868421052,-0.28579985989473683,-0.20176183963157893,-0.20826417936842104,-0.37198879684210534,-0.05983287938947369,-0.0025505311042105265,0.14546649873684211,-0.16283874015789473,0.05329191013263158,-0.27671122457894737,0.038363008189473684,-0.6827018668421052,0.06801719489473684,0.06053906934736843,0.1877447314210526,-0.15766100410526315,-0.036146659394736845,0.07379173857894737,-0.21236946715789476,-0.21861086336842103,-0.19936375521052632,0.06662799957894737,0.246599043,-0.0871784220526316,0.1376163474210526,-0.20677019968421054,-0.2153305209473684,0.2594318877368421,-0.02452046980368421,-0.10711219342105265,-0.06634985810526317,-0.41152793210526323,0.020507026513157896,-0.2925263203157895,-0.14261082331578948,0.12602261736842105,0.173907372,-0.17306853384210524,-0.2896979708947369,-0.1443530652105263,0.16363332815789472,0.1307160246842105,0.24001481126315785,-0.2820810213684211,0.02039943027157895,-0.06281378089473684,-0.12994983026315793,0.20765099668421047,0.17576730047368422,-0.08478459336842106,-0.28846067494736843,0.10689910842105262,-0.053389827052631574,-0.08694935242105262,0.013590299721052631,-0.02792568304263157,-0.274495118368421,0.2506316092631579,0.2368947365263158,0.34237646473684213,-0.38667538736842105,0.32670935052631583,-0.08755875757894738,0.11937118173684211,0.337194352631579,0.005492552389473684,0.2670988496842105,0.1714435673157895,0.11139205615789476,-0.005379530143684208,-0.18319725026315786,-0.016884111044210528,-0.3058464353157895,0.036933206189473676,-0.27427173868421056,0.5058744213684211,-0.06715465326315789,-0.015551894768421054,0.13122092410526318,0.347460926368421,0.26176455605263155,0.11354056310526317,0.3691082270526315,0.2233351725263158,0.08648811031578947,-0.06719469032105263,0.5641637723157894,0.3360166523157895,0.21501354784210527,-0.2741535265263158,0.10037778310526316,-0.11321511663157895,Bad
